Name	Age	Nationality	Club	Joined
J. Montoya	19	Colombia	Itagüí Leones FC	2018-08-21
Dong YanFeng	22	China PR	Dalian YiFang FC	2016-07-01
M. Said	18	Sweden	Empoli	2018-07-01
G. Arib	18	France	Valenciennes FC	2018-08-31
T. Mohr	21	Germany	Holstein Kiel	2018-07-01
Sun Ya	21	China PR	Tianjin TEDA FC	2018-02-28
J. Łabojko	20	Poland	Śląsk Wrocław	2018-06-12
D. Camara Bos	19	Netherlands	FC Emmen	2018-07-01
J. Saki	27	France	AS Béziers	2018-07-01
A. Benedyczak	17	Poland	Pogoń Szczecin	2018-03-02
Li Chen	21	China PR	Beijing Renhe FC	2016-01-01
A. Kajpust	19	Poland	Cracovia	2017-07-17
J. Cano	22	United States	FC Dallas	2018-01-11
M. Minder	25	Switzerland	Neuchâtel Xamax	2018-05-01
A. Marie-Sainte	19	France	Livorno	2018-07-12
L. Sutton	21	England	Scunthorpe United	2015-07-01
D. Amos	18	England	Doncaster Rovers	2016-07-01
M. Goto	24	Japan	Shonan Bellmare	2017-02-01
A. Splaine	21	Scotland	Derry City	2018-07-06
C. Peters	19	England	Walsall	2016-07-01
R. Sulewski	24	Poland	Arka Gdynia	2018-06-20
Luo Hao	23	China PR	Chongqing Dangdai Lifan FC SWM Team	2018-01-02
R. Deiman	19	Netherlands	FC Emmen	2018-07-01
T. Okuda	29	Japan	V-Varen Nagasaki	2016-01-06
T. Jäntti	18	Finland	HJK Helsinki	2017-01-01
C. Haas	25	Austria	SK Rapid Wien	2017-01-31
Jin Qiang	25	China PR	Dalian YiFang FC	2013-07-01
Z. Hakeem	19	England	Mansfield Town	2015-11-24
Zhao Yingjie	25	China PR	Tianjin TEDA FC	2016-01-01
R. Ayagwa	20	Nigeria	Lillestrøm SK	2018-08-15
C. Ortiz	31	Venezuela	CD Huachipato	2018-07-12
P. Samiec-Talar	16	Poland	Śląsk Wrocław	2018-07-18
D. Butterworth	18	England	Blackburn Rovers	2017-10-06
Y. Nuxoll	20	Germany	SV Meppen	2017-07-01
A. Sow	18	Senegal	Racing Club de Lens	2018-07-04
S. Svenlén	18	Sweden	IF Brommapojkarna	2018-08-07
F. Botiseriu	19	Germany	1. FC Kaiserslautern	2018-07-01
L. Ward	21	England	Northampton Town	NA
H. Palacios	18	Colombia	Atlético Nacional	2018-04-02
N. Bai	19	France	Chamois Niortais Football Club	2018-10-26
H. Pickering	19	England	Crewe Alexandra	2016-03-10
J. Dakir	21	Denmark	Randers FC	2016-11-21
Hugo Díaz	21	Spain	Leeds United	2017-07-01
T. Lowery	20	England	Crewe Alexandra	2016-07-01
J. Jaimes	20	Colombia	Atlético Bucaramanga	2017-07-24
J. Tromsdal	20	Norway	Ranheim Fotball	2017-01-01
O. Aga	17	Norway	Stabæk Fotball	2018-02-25
J. Brannefalk	20	Sweden	Trelleborgs FF	2016-11-30
E. Adebayo	20	England	Swindon Town	NA
J. Simpson	19	England	Forest Green Rovers	2018-10-06
E. Durmaz	18	Sweden	Hammarby IF	2017-01-01
A. Groundstroem	18	Sweden	IF Brommapojkarna	2018-01-01
Y. Fofana	17	France	Le Havre AC	2018-07-01
A. Harper	20	England	Bristol Rovers	2018-07-11
H. Darling	18	England	Cambridge United	2016-10-04
E. Ross	21	England	Colchester United	2018-07-02
D. Wenzel-Halls	20	Australia	Brisbane Roar	2018-06-01
J. Quiñones Saya	18	Colombia	América de Cali	2018-04-20
K. Brouder	19	Republic of Ireland	Limerick FC	2015-02-01
J. Berger	18	Germany	FC Hansa Rostock	2016-07-01
T. Holland	20	Republic of Ireland	Limerick FC	2015-03-07
R. Lovett	21	England	Cheltenham Town	2015-08-03
C. Magerusan	18	Romania	Bohemian FC	2017-07-01
V. Adebayor	21	Niger	Vejle Boldklub	2018-01-01
T. Queen	19	Scotland	Kilmarnock	2015-06-30
C. Ruiz	20	Colombia	Boyacá Chicó FC	2018-08-18
M. Malec	23	Poland	Pogoń Szczecin	2018-07-01
F. Macias	19	Venezuela	SD Huesca	2018-08-21
F. Acosta	24	Colombia	Boyacá Chicó FC	2018-03-08
M. Ndione	18	Sweden	IF Elfsborg	2018-01-01
E. Fadda	21	Saudi Arabia	Al Qadisiyah	2018-07-01
M. Siby	21	France	Valenciennes FC	2018-07-01
H. McKirdy	21	Scotland	Aston Villa	2015-07-01
E. Otim	19	Uganda	Barnsley	2018-07-05
D. Bochicchio	20	Italy	Sporting de Charleroi	2018-07-01
O. Sverrisson	25	Sweden	BK Häcken	2018-12-04
A. Smith	20	England	Hamilton Academical FC	2018-07-01
S. Avanzini	23	Italy	AC Horsens	2018-07-21
E. Pastrana	18	Mexico	Tiburones Rojos de Veracruz	2018-09-13
B. Lund	21	Denmark	Vendsyssel FF	2017-07-15
M. Ibacache	19	Chile	CD Everton de Viña del Mar	2018-07-01
M. Howard	18	England	Preston North End	2018-02-20
H. Odoffin	20	England	Northampton Town	2018-07-09
J. McAtee	18	England	Shrewsbury	2017-04-12
R. Akbari	18	Australia	Melbourne Victory	2018-10-24
A. Reyes Ambuila	18	Colombia	Atlético Nacional	2018-09-13
I. Sadiq	18	Ghana	FC Nordsjælland	2018-07-01
C. Merrie	19	England	Wigan Athletic	2017-07-01
L. Morrison	19	Scotland	Sligo Rovers	2018-01-24
R. Strechie	17	Romania	Venezia FC	2016-07-01
D. Castro	24	Chile	Unión La Calera	2018-02-09
A. Al Shammari	26	Saudi Arabia	Al Raed	2017-07-07
A. Long	17	England	Wigan Athletic	2018-07-01
O. Sims	17	England	Colchester United	2018-05-04
S. Wilson	19	England	Mansfield Town	2017-05-24
L. Colville	19	England	Bradford City	2018-08-14
S. Barone	19	Italy	Spezia	2018-07-01
C. Scott	19	England	Dundee FC	2018-01-31
M. Şatin	21	Austria	FC Wacker Innsbruck	2018-01-01
Y. Kurihara	34	Japan	Yokohama F. Marinos	2002-01-01
J. Hackett	18	England	Sunderland	2017-08-03
C. Giuliani	19	Austria	SK Sturm Graz	2018-07-01
S. Brady	22	Australia	Brisbane Roar	2014-11-14
E. Breivik	18	Norway	Molde FK	2018-09-17
R. Huser	20	Switzerland	FC Basel 1893	2018-07-21
J. Suárez	20	Colombia	Alianza Petrolera	2018-03-19
D. Gąska	21	Poland	Śląsk Wrocław	2018-06-03
S. Passi	23	India	NA	NA
D. Maekawa	23	Japan	Vissel Kobe	2016-07-01
G. Maley	35	Scotland	Livingston FC	2016-07-01
K. Yoshimaru	22	Japan	Vissel Kobe	2014-01-01
B. Ekincier	19	Azerbaijan	VfL Bochum 1848	2018-07-01
N. van den Dam	19	Netherlands	De Graafschap	2018-11-03
S. Heaney	22	Republic of Ireland	Bray Wanderers	2018-01-05
C. MacDonald	20	Scotland	Derby County	2016-06-01
M. Napa	19	England	Macclesfield Town	NA
M. Venturi	19	Italy	Carpi	2018-07-11
T. Durso	19	Argentina	Gimnasia y Esgrima La Plata	2017-06-30
L. Gamíz	18	Mexico	Club Tijuana	2017-07-01
M. Molenda	17	Poland	Arka Gdynia	2018-08-28
E. Watt	18	Scotland	Wolverhampton Wanderers	2017-11-21
Xu Tianyuan	21	China PR	Hebei China Fortune FC	2017-02-26
L. D'Arrigo	16	Australia	Adelaide United	2018-07-24
V. Barbero	17	Argentina	Belgrano de Córdoba	2018-10-08
J. Pereira	23	Uruguay	San Luis de Quillota	2018-07-01
A. Al Dakheel	22	Saudi Arabia	Al Hazem	2017-07-19
I. Acero	18	Mexico	Deportivo Toluca	2018-01-01
V. Adeboyejo	20	England	Barnsley	2017-11-04
D. Dalling	19	England	Queens Park Rangers	2018-01-05
E. McKeown	19	England	Colchester United	2017-07-01
J. Adams	17	Wales	Bury	2018-08-14
B. Al Bahrani	23	Saudi Arabia	Al Fateh	2013-07-01
N. Celic	19	Austria	LASK Linz	2018-07-01
M. Al Majhad	21	Saudi Arabia	Al Fateh	2014-07-01
J. Ferreira	17	Colombia	FC Dallas	2016-11-17
T. Lauritsen	20	Norway	Odds BK	2018-01-18
Kang Yun Koo	25	Korea Republic	Daegu FC	2018-07-14
M. Jenz	19	Germany	Fulham	2017-07-01
C. Salomón	18	Chile	Universidad Católica	2017-07-01
I. Núñez	19	Chile	Unión Española	2018-01-01
B. Syla	20	Austria	Wolfsberger AC	2018-07-01
R. Gutiérrez	22	Mexico	Monarcas Morelia	2018-07-01
W. Popp	23	Japan	Kawasaki Frontale	2013-01-01
T. Kircher	19	Germany	Karlsruher SC	2018-07-01
E. McGinty	18	Republic of Ireland	Sligo Rovers	2017-02-22
T. Garratt	21	England	AFC Wimbledon	NA
S. Gucciardo	19	Turkey	SC Paderborn 07	2018-07-01
L. Russe	18	England	Bristol Rovers	2017-07-01
J. Kerr	20	Scotland	Brighton & Hove Albion	2017-07-01
R. McCourt	20	Republic of Ireland	Bohemian FC	2018-08-30
H. Strömgren	21	Sweden	Kalmar FF	2018-01-11
Li Lei	25	China PR	Guizhou Hengfeng FC	2014-01-01
A. Fantini	20	Japan	Sagan Tosu	2017-04-14
V. Piechocki	21	France	Stade de Reims	2017-07-01
M. Giraldo	20	Colombia	Envigado FC	2017-07-24
A. Damlu	18	Turkey	Yeni Malatyaspor	2016-07-25
K. Hori	19	Japan	Yokohama F. Marinos	2018-01-01
S. Machino	18	Japan	Yokohama F. Marinos	2018-01-01
A. Nelson	20	England	Sunderland	2016-07-01
O. Skarsem	19	Norway	Rosenborg BK	2017-12-06
C. Zamorano	19	Chile	Club Deportes Temuco	2017-10-18
A. Søndergaard	17	Denmark	Wolverhampton Wanderers	2018-01-26
G. Harada	20	Japan	Yokohama F. Marinos	2017-01-14
E. Vertainen	19	Finland	HJK Helsinki	2017-01-01
J. Breitfeld	21	Germany	FC Ingolstadt 04	2018-01-31
J. Beaulieu	24	Canada	Montreal Impact	2018-01-09
J. Weaver	21	England	Birmingham City	2015-03-19
Mao Haoyu	21	China PR	Tianjin TEDA FC	2018-01-01
M. Lopez	21	Chile	CD Huachipato	2017-06-01
F. Fridriksson	19	Iceland	Vejle Boldklub	2018-07-24
C. Camwell	19	England	Coventry City	2017-04-30
J. Macdonald	22	Australia	Central Coast Mariners	2018-08-06
M. Schmeling	18	Germany	MSV Duisburg	2018-07-01
H. Sharahili	28	Saudi Arabia	Al Batin	2016-09-01
P. Plewka	18	Poland	Wisła Kraków	2017-07-11
D. Marzino	21	Switzerland	BSC Young Boys	2015-06-01
J. Echave	17	Chile	Unión Española	2018-07-01
M. Welch-Hayes	21	England	Macclesfield Town	2018-06-07
A. Lyons	17	Republic of Ireland	Bohemian FC	2017-10-13
N. Feil	19	Germany	VfR Aalen	2017-07-01
G. Gibson	17	Norway	Sandefjord Fotball	2018-04-18
M. Saunders-Henry	18	England	Millwall	2018-07-01
J. Hanson	18	England	Millwall	2018-07-01
F. Preston	19	England	Sheffield Wednesday	2016-10-28
M. Contreras	19	Chile	Unión La Calera	NA
R. Tanaka	19	Japan	Kashiwa Reysol	2018-01-01
G. Botos	17	Greece	AEK Athens	2018-07-01
S. Blaney	19	Republic of Ireland	Doncaster Rovers	2018-01-16
T. Clavijo	19	Colombia	Once Caldas	2018-10-05
A. Comrie	21	Scotland	St. Johnstone FC	2014-07-01
Y. Ogaki	18	Japan	Nagoya Grampus	2018-02-01
B. Cotter	19	Republic of Ireland	Ipswich Town	2018-01-31
R. Masterson	21	Republic of Ireland	Bohemian FC	2018-07-27
Ma Junliang	20	China PR	Guangzhou R&F; FC	2017-01-01
A. Vucenovic	20	Austria	SKN St. Pölten	2017-07-01
F. Gómez	18	Colombia	Itagüí Leones FC	2018-10-08
J. Lártiga	20	Chile	San Luis de Quillota	2017-08-01
J. Meiser	19	Germany	SG Sonnenhof Großaspach	2018-07-01
M. Olsen	19	Norway	Stabæk Fotball	2017-03-31
A. Reid	22	England	Stevenage	2018-07-19
J. Isaksen	18	Norway	Kristiansund BK	2017-01-01
Yu Zhen	21	China PR	Dalian YiFang FC	2018-01-01
B. Morgado	20	Switzerland	FC Sion	2016-09-08
Shen Shuaishuai	19	China PR	Guangzhou R&F; FC	2018-01-01
D. Lalhlimpuia	20	India	NA	NA
A. Zabani	21	Saudi Arabia	Al Batin	NA
L. Butroid	19	England	Scunthorpe United	2017-01-26
S. Walker	17	England	Middlesbrough	2017-11-08
N. Baumann	22	Switzerland	FC Zürich	2015-06-16
P. Kalambayi	18	England	AFC Wimbledon	2016-02-18
S. Awaka	23	Japan	Hokkaido Consadole Sapporo	2013-01-01
R. Källman	19	Finland	HJK Helsinki	2017-07-31
T. Wood	19	England	AFC Wimbledon	2018-07-01
I. Angking	18	United States	New England Revolution	2018-01-02
Strefezza	21	Brazil	US Cremonese	NA
Xie Weijun	20	China PR	Tianjin TEDA FC	2018-02-25
D. Pik	17	Poland	Cracovia	2018-01-21
R. Campbell	18	England	Gillingham	2018-11-13
N. James	17	Australia	Newcastle Jets	2018-01-01
D. Grimshaw	20	England	Manchester City	2016-08-31
A. Aktas	18	Turkey	Stade de Reims	2018-07-10
E. Toal	19	Northern Ireland	Derry City	2017-06-12
T. Fantacci	21	Italy	Carpi	NA
R. Hutchinson	18	England	Burton Albion	2018-05-09
J. Veale	21	Wales	Cardiff City	2015-05-05
E. Kalsaas	17	Norway	SK Brann	2018-01-01
M. Frese	20	Denmark	FC Nordsjælland	2017-03-05
S. Yoneda	22	Japan	V-Varen Nagasaki	2018-01-01
S. Boyd	21	Scotland	Hamilton Academical FC	2014-09-01
M. Al Sharimi	23	Saudi Arabia	Al Raed	2017-06-12
A. Baldwin	21	England	Cheltenham Town	NA
K. Grozos	17	Australia	Western Sydney Wanderers	2017-07-01
H. Brkic	18	Sweden	Trelleborgs FF	2018-07-21
M. Pfeifer	18	Austria	TSV Hartberg	2017-07-01
S. Ono	38	Japan	Hokkaido Consadole Sapporo	2014-06-01
M. Attiyah	26	Saudi Arabia	Ohod Club	2017-06-16
B. Crellin	18	England	Fleetwood Town	2016-12-12
J. Gallagher	22	Republic of Ireland	Atlanta United	2018-02-01
J. King	22	England	St. Mirren	2018-06-22
C. Barrios	20	Colombia	Patriotas Boyacá FC	2018-10-19
H. Brockbank	19	England	Bolton Wanderers	2017-07-03
B. Scott	19	United States	1. FC Köln	2017-07-01
M. Sheaf	18	England	Hull City	2018-05-18
Zhang Yan	21	China PR	Jiangsu Suning FC	2018-07-13
N. Mantl	18	Germany	SpVgg Unterhaching	2017-07-01
K. Kumor	18	Poland	Zagłębie Sosnowiec	2018-02-20
S. McNamee	17	Republic of Ireland	Derry City	2018-06-15
L. Zottele	19	Austria	SCR Altach	2018-07-01
C. Tanor	20	Ghana	Hobro IK	2016-01-01
K. Katz	18	Finland	HJK Helsinki	2017-01-01
F. Al Birekan	18	Saudi Arabia	Al Nassr	2018-03-03
P. Teixeira	19	Switzerland	BSC Young Boys	2017-08-01
J. Lankester	18	England	Ipswich Town	2018-07-01
Qian Yumiao	20	China PR	Tianjin Quanjian FC	2017-07-13
S. Łapiński	17	Poland	Jagiellonia Białystok	2018-08-09
T. Ryan	21	Republic of Ireland	Cork City	2018-12-03
J. Lindgren	20	Sweden	IFK Norrköping	2016-04-06
S. George	20	England	Tranmere Rovers	2017-08-01
J. McGarry	20	New Zealand	Willem II	2018-07-11
M. Loaiza	23	Colombia	Atlético Bucaramanga	2018-03-01
D. Łuczak	21	Poland	Śląsk Wrocław	2017-05-31
A. Tymiński	18	Poland	Piast Gliwice	2018-07-19
Liu Boyang	21	China PR	Beijing Renhe FC	2018-01-01
J. Storevik	21	Norway	Sandefjord Fotball	2018-08-15
K. Velde	18	Norway	FK Haugesund	2017-04-06
T. Isherwood	20	Sweden	Bradford City	2018-06-12
V. Fazliu	22	Switzerland	FC Lugano	2018-06-21
D. Pakulski	19	Poland	Zagłębie Lubin	2017-11-16
A. Al Dhafeeri	20	Saudi Arabia	Al Batin	NA
M. Saavedra	18	Chile	Audax Italiano	2017-07-01
S. Wolf	19	Switzerland	FC Luzern	2015-07-01
C. John	18	England	Wolverhampton Wanderers	2017-07-01
Jin Hui	29	China PR	Beijing Renhe FC	2018-01-07
T. Renaud	17	France	FC Lorient	2018-09-07
J. Finnerty	19	Republic of Ireland	Bohemian FC	2018-12-01
K. Ackermann	17	Sweden	BK Häcken	2017-06-12
J. Romanski	18	England	Swindon Town	2017-10-31
D. Gutiérrez	21	Canada	CD Palestino	2015-07-10
P. Wiśniewski	19	Poland	Górnik Zabrze	2018-04-06
J. Hamilton	18	Scotland	Livingston FC	2017-06-30
Zhao Xuebin	25	China PR	Dalian YiFang FC	2013-02-28
Li Hailong	21	China PR	Shandong Luneng TaiShan FC	2016-07-15
F. Ibsen	21	Denmark	FC København	2018-08-31
B. Rivera	18	Chile	CD Everton de Viña del Mar	2018-07-01
R. McCrorie	20	Scotland	Rangers FC	2015-07-01
D. Ojo	17	Italy	Yeovil Town	2018-09-04
A. Parsons	19	England	Bristol City	2018-09-10
J. Doherty	17	Republic of Ireland	Sheffield United	2018-07-01
N. Geisler	17	Germany	FC Energie Cottbus	2018-04-22
C. Devlin	20	Australia	Sydney FC	2018-09-11
M. Kulke	17	Germany	SG Dynamo Dresden	2018-08-02
L. Pellegrini	18	France	AC Ajaccio	2018-07-01
J. Scholz	19	Germany	1. FC Kaiserslautern	2018-08-01
S. Moloney	18	England	Bury	2017-07-01
Y. Omoto	23	Japan	V-Varen Nagasaki	2018-08-15
C. Lemonheigh-Evans	21	Wales	Bristol City	2015-07-28
K. O'Sullivan	18	Republic of Ireland	Limerick FC	2018-02-16
D. Higgins	20	Scotland	Kilmarnock	2017-07-01
K. Krzepisz	18	Poland	Arka Gdynia	2018-07-09
O. Edlund	18	Sweden	Hammarby IF	2017-01-01
Y. Al Qarni	19	Saudi Arabia	Al Ahli	2018-07-15
Y. Maouche	20	France	FC Zürich	2017-07-06
L. Hedlund	19	Sweden	BK Häcken	2017-10-01
J. Wicks	18	England	Millwall	2018-07-01
S. Haubrock	18	Germany	VfL Osnabrück	2018-07-01
A. Estacio	20	Colombia	Deportivo Pasto	2018-05-04
J. Brändle	18	Germany	1. FC Heidenheim 1846	2018-07-06
C. Singh	21	India	NA	NA
J. Walton	20	England	Barnsley	2015-03-28
N. Sette	18	Australia	Melbourne Victory	2018-06-01
K. Sparta	18	Australia	AFC Wimbledon	2018-05-22
T. Crawford	19	England	Notts County	2018-05-30
C. Coxe	19	Wales	Cardiff City	2017-02-22
A. Crookes	20	England	Lincoln City	NA
J. Waite	19	Wales	Cardiff City	2017-02-22
L. Pierre	20	Haiti	AC Ajaccio	2018-07-01
K. Mooney	19	England	Cheltenham Town	NA
J. Piggott	19	England	Morecambe	NA
F. Figueroa	20	Venezuela	Atlético Huila	2018-02-03
R. Harrington	19	Wales	Aberdeen	2017-07-18
F. Sasmay	20	Chile	CD Antofagasta	2017-01-01
L. Rivas	19	Colombia	Deportes Tolima	2018-10-05
R. Gorman	24	Republic of Ireland	Bray Wanderers	2018-01-19
D. Smith	18	England	Portsmouth	2018-01-01
A. Long	21	France	FC Sochaux-Montbéliard	2017-07-01
M. Tomizawa	24	Japan	V-Varen Nagasaki	2016-01-01
Xu Jiamin	24	China PR	Beijing Renhe FC	2014-01-01
E. Löder	18	Germany	FC Erzgebirge Aue	2018-07-01
O. Breistøl	19	Norway	Sandefjord Fotball	2017-07-01
M. Schlosser	19	Germany	FC Erzgebirge Aue	2018-07-01
L. Talbro	19	Denmark	FC Nordsjælland	2018-08-31
E. Banza	18	Congo	HJK Helsinki	2017-01-01
Zhu Chenjie	17	China PR	Shanghai Greenland Shenhua FC	2018-07-13
T. Hamer	18	England	Oldham Athletic	2018-04-24
K. Agudelo	19	Colombia	Atlético Huila	2018-04-08
D. Szczerbal	22	Poland	Śląsk Wrocław	2018-06-19
F. Niang	23	Senegal	La Berrichonne de Châteauroux	2017-08-03
N. Tzanev	21	New Zealand	AFC Wimbledon	2017-05-08
Y. Suzuki	19	Japan	FC Tokyo	2017-01-01
J. Keaney	19	Republic of Ireland	Sligo Rovers	2017-01-15
E. Williamson	21	United States	Santa Clara	NA
F. Majchrowicz	18	Poland	Cracovia	2018-02-09
A. Estrada	19	Chile	San Luis de Quillota	2018-06-30
D. Feka	21	Kosovo	FC Luzern	2017-06-30
J. Dodd	17	England	Exeter City	2018-07-01
G. Hurst	21	Scotland	St. Johnstone FC	2015-09-01
Lei Wenjie	21	China PR	Shanghai SIPG FC	2017-01-30
D. Bumberger	19	Austria	LASK Linz	2018-07-01
D. Diaz	22	Chile	San Luis de Quillota	2018-07-31
S. Sarıkaya	18	Turkey	Sivasspor	2018-01-22
M. Zapytowski	17	Poland	Wisła Płock	2018-07-17
A. Piróg	18	Poland	Korona Kielce	2018-07-14
L. Allan	21	Scotland	Hibernian	2018-07-01
D. Valdelamar	21	Colombia	Independiente Santa Fe	2017-09-04
E. Erhahon	17	Scotland	St. Mirren	2017-07-10
K. Jaksik	18	Poland	Górnik Zabrze	2018-07-07
Lucas Ribeiro	19	Brazil	Valenciennes FC	2018-07-01
G. Comerford	24	Republic of Ireland	Cork City	2018-12-01
B. Yáñez	17	Chile	Unión Española	2018-07-01
H. Stenevik	18	Norway	SK Brann	2017-01-01
M. Kennedy	21	Northern Ireland	Charlton Athletic	2014-12-09
S. Sinyan	21	Norway	Lillestrøm SK	2016-04-20
K. Yoshio	20	Japan	Yokohama F. Marinos	2017-01-01
R. Rode	29	Latvia	Waterford FC	2018-07-27
A. Bahtijar	19	Sweden	GIF Sundsvall	2016-01-01
N. Kastenhofer	19	Germany	Hallescher FC	2018-05-20
S. Heil	19	Germany	SC Paderborn 07	2018-07-01
M. Schragl	19	Austria	Karlsruher SC	2018-07-01
P. Selkos	18	Greece	SC Paderborn 07	2018-07-01
J. Hanek	19	Germany	Karlsruher SC	2018-07-01
B. Manosalva	20	Chile	CD Huachipato	2015-01-01
M. Christiansen	17	Norway	Lillestrøm SK	2018-05-20
S. Hausner	18	Denmark	Aarhus GF	2017-02-27
L. Pelletier	18	France	RC Strasbourg Alsace	2018-07-01
T. Herbots	17	Belgium	Sint-Truidense VV	2018-05-15
R. Miura	26	Japan	Júbilo Iwata	2017-01-01
M. Matsumoto	23	Japan	Júbilo Iwata	2017-01-01
S. Jamieson	19	Scotland	St. Mirren	2018-07-01
T. Nishiyama	18	Japan	Yokohama F. Marinos	2018-01-01
Felipe Ferreyra	20	Brazil	Curicó Unido	2016-01-01
Y. Kaiser	20	Switzerland	FC Basel 1893	2018-03-18
T. Hara	19	Japan	FC Tokyo	2018-01-01
A. Ocejo	20	Mexico	Santos Laguna	2017-07-01
N. Ochojski	19	Germany	SC Fortuna Köln	2018-07-01
K. Krygård	18	Norway	FK Haugesund	2016-01-01
Cui Jingming	21	China PR	Changchun Yatai FC	2015-04-02
B. Servania	19	United States	FC Dallas	2018-01-03
L. Langhans	19	Germany	FC Würzburger Kickers	2018-07-01
C. Farren	19	Northern Ireland	Derry City	2016-01-01
K. Yao	19	England	Charlton Athletic	2016-01-08
D. Karimani	19	Kosovo	SC Paderborn 07	2017-07-01
T. Mannek	21	Germany	SC Paderborn 07	2016-07-01
M. Twarowski	17	Poland	Jagiellonia Białystok	2018-08-18
H. Fossdal	19	Norway	FK Haugesund	2017-08-08
M. Muheim	20	Switzerland	FC St. Gallen	2018-01-31
K. Al Mozaibri	21	Saudi Arabia	Al Batin	2015-07-01
A. Papadopoulos	18	Germany	VfR Aalen	2017-07-01
P. Buch Christiansen	18	Denmark	SønderjyskE	2018-08-12
Sun Kai	27	China PR	Shanghai Greenland Shenhua FC	2018-01-01
K. Shibato	22	Japan	Urawa Red Diamonds	2018-01-01
L. McCarron	17	England	Carlisle United	2018-09-29
H. Hernández	17	Colombia	Atlético Huila	2018-07-05
L. Jacot	18	Switzerland	FC Luzern	NA
M. Bildøy	18	Norway	SK Brann	2017-01-01
Wang Min	23	China PR	Chongqing Dangdai Lifan FC SWM Team	2016-02-26
Li Fang	25	China PR	Chongqing Dangdai Lifan FC SWM Team	2016-01-01
E. Alarcón	25	Argentina	Patronato	2016-09-10
P. Ouaneh	20	France	FC Lorient	2018-07-01
Zhong Yihao	22	China PR	Guangzhou Evergrande Taobao FC	2018-02-24
S. Arango	22	Colombia	Boyacá Chicó FC	2017-01-01
L. Ranger	19	Norway	Lillestrøm SK	2018-02-28
L. Moser	18	Germany	1. FC Union Berlin	2017-05-02
J. Campaz	18	Colombia	Deportes Tolima	2017-04-01
M. Ramkilde	20	Denmark	Aalborg BK	2016-10-20
Chen Weiming	21	China PR	Guangzhou R&F; FC	2016-07-15
H. Al Ruwaili	23	Saudi Arabia	Al Taawoun	2018-07-02
K. Laskoś	18	Poland	Wisła Kraków	2017-01-10
J. Nahr	18	Germany	FC Carl Zeiss Jena	2018-07-01
R. Ogle	19	Australia	Accrington Stanley	2016-07-01
S. Fukahori	20	Japan	Nagoya Grampus	2017-01-01
A. Yusuf	17	Nigeria	IFK Göteborg	2018-07-25
M. Bazi	20	Sweden	IFK Norrköping	2015-06-11
L. Sedlak	18	Germany	FC Carl Zeiss Jena	2018-07-01
A. Bates	17	England	Walsall	2018-10-10
Wen Junjie	21	China PR	Tianjin Quanjian FC	2018-02-04
J. McCombe	35	England	Lincoln City	2016-01-28
S. Warde	20	Republic of Ireland	Colchester United	2017-07-31
R. Stewart	23	Scotland	Livingston FC	2018-07-11
Y. Mustafa	19	Australia	Perth Glory	2017-12-03
Wen Zhixiang	25	China PR	Henan Jianye FC	2017-01-14
Choi Beom Kyung	21	Korea Republic	Incheon United FC	2018-01-01
E. Hodge	22	England	Burton Albion	2018-08-10
G. Vannucchi	22	Italy	US Salernitana 1919	2018-08-01
J. Smylie	18	Australia	Central Coast Mariners	2018-03-31
J. Gibson	20	England	Bradford City	2017-08-15
Shi Xiaodong	21	China PR	Shanghai SIPG FC	2016-01-01
S. Strózik	19	Poland	Cracovia	2016-06-01
Chen Wei	20	China PR	Shanghai SIPG FC	2017-02-12
A. Al Hassan	22	Saudi Arabia	Al Fateh	2017-07-01
I. Al Otaibi	21	Saudi Arabia	Al Taawoun	2017-07-01
R. Kawai	39	Japan	Hokkaido Consadole Sapporo	2011-01-01
Yu Hao	20	China PR	Shanghai SIPG FC	2016-07-15
Jeong Chung Yeob	20	Korea Republic	Daegu FC	2017-07-01
M. Al Nakhli	22	Saudi Arabia	Al Fateh	2018-08-14
Liu Yu	23	China PR	Changchun Yatai FC	2015-02-01
D. Revan	17	England	Aston Villa	2018-07-01
W. Longbottom	19	England	Doncaster Rovers	2016-03-31
R. Treacy	19	Republic of Ireland	Dundalk	2018-02-01
J. Bartels	19	Germany	1. FC Köln	2018-07-01
M. Hayashi	21	Japan	Gamba Osaka	2015-01-01
A. Rose	19	Jamaica	Grimsby Town	2017-01-01
D. Valencia	18	Chile	Universidad Católica	2017-01-15
D. Dumont	18	France	GFC Ajaccio	2017-06-06
Lee Yunoh	19	Korea Republic	Vegalta Sendai	2017-04-07
J. Borquez	18	Chile	Deportes Iquique	2018-03-18
S. Byrne	23	Republic of Ireland	Dundalk	2018-07-04
J. Anziani	19	France	GFC Ajaccio	2017-06-20
M. Urwin	24	England	Fleetwood Town	2016-08-11
A. Ben Lamin	17	Sweden	AIK	2018-01-01
J. Hoormann	19	Germany	SV Meppen	2018-07-01
B. Williams	19	Wales	Barnsley	2017-06-19
A. Jarvis	20	England	Luton Town	2017-08-31
M. Casey	18	England	Portsmouth	2017-12-09
Sun Weizhe	21	China PR	Beijing Renhe FC	2017-07-14
W. Al Enezi	19	Saudi Arabia	Al Batin	2018-01-01
F. Langsdorf	22	United States	Portland Timbers	2018-01-19
K. McClean	19	Northern Ireland	St. Johnstone FC	2017-07-01
Zhao Mingyu	21	China PR	Changchun Yatai FC	2017-07-14
L. Coddington	23	England	Northampton Town	2017-08-17
J. McGuire	23	United States	Philadelphia Union	2017-03-10
